;DBGG;PIB;JUROREAL;SPRIMARIO;CAMBIO;INFLACAO
mai/14;52,57;2,263257395;4,842857143;1,38;2,2209;6,37485565
jun/14;53,24;1,860951733;4,8975;1,24;2,2355;6,523288984
jul/14;53,77;1,51094872;4,923043478;1,11;2,2246;6,502097467
ago/14;54,46;1,167722881;4,795238095;0,85;2,268;6,512969847
set/14;55,83;0,877516631;4,634090909;0,55;2,3329;6,746474315
out/14;56,21;0,555139645;4,546956522;0,51;2,4483;6,58724038
nov/14;56,84;0,196215866;4,6555;-0,16;2,5484;6,555291342
dez/14;57,19;0,104167156;4,910909091;-0,57;2,6394;6,407470796
jan/15;58,12;-0,293899308;5,023809524;-0,55;2,6342;7,137457708
fev/15;59,27;-1,072610773;5,356666667;-0,63;2,8165;7,701587433
mar/15;60,49;-1,151822508;5,7265;-0,68;3,1395;8,128504661
abr/15;60,09;-1,334465617;6,3705;-0,74;3,0432;8,171486814
mai/15;61,21;-1,761419642;7,064;-0,67;3,0617;8,472942639
jun/15;61,77;-1,686425611;7,346190476;-0,79;3,1117;8,894424458
jul/15;63,21;-1,926829211;7,647826087;-0,87;3,2231;9,558392612
ago/15;64,05;-2,040710881;8,418571429;-0,75;3,5143;9,52547737
set/15;64,71;-2,539006953;8,267619048;-0,44;3,9065;9,492789208
out/15;64,96;-3,008366862;7,693809524;-0,7;3,8801;9,928892216
nov/15;65,3;-3,351621446;7,2545;-0,89;3,7765;10,47576729
dez/15;66,52;-3,847602633;7,032272727;-1,88;3,8711;10,67302813
jan/16;67,41;-4,143420001;7,0045;-1,76;4,0524;10,70580507
fev/16;67,62;-4,097059971;7,093333333;-2,11;3,9737;10,35588437
mar/16;67,25;-4,09706;7,42;-2,28;3,7039;9,386372371
